MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009070015357,14.90,0.06,196.38753,-10.55533,54450.51271,0
1009070015357,14.91,0.06,196.38748,-10.55534,54450.51891,0
1009070015357,14.89,0.06,196.38752,-10.55532,54450.52499,0
1009070015357,14.91,0.06,196.38755,-10.55534,54450.53106,0
1009070015357,15.04,0.06,196.38755,-10.55535,54115.48897,0
1009070015357,15.05,0.06,196.38755,-10.55535,54115.49834,0
1009070015357,15.06,0.06,196.38755,-10.55533,54115.50792,0
1009070015357,15.04,0.06,196.38756,-10.55534,54115.51971,0
1009070015357,15.02,0.06,196.38752,-10.55536,54127.45406,0
1009070015357,15.03,0.06,196.38756,-10.55530,54127.46431,0
1009070015357,15.02,0.06,196.38755,-10.55535,54127.47454,0
1009070015357,15.04,0.06,196.38757,-10.55533,54127.48477,0
1009070015357,14.99,0.06,196.38752,-10.55534,54241.23950,0
1009070015357,14.95,0.06,196.38756,-10.55535,54241.24870,0
1009070015357,14.98,0.06,196.38754,-10.55530,54241.25791,0
1009070015357,14.97,0.06,196.38758,-10.55531,54241.26728,0
1009070015357,14.90,0.06,196.38755,-10.55531,54560.34851,0
1009070015357,14.88,0.06,196.38755,-10.55531,54560.35389,0
1009070015357,14.90,0.06,196.38755,-10.55534,54560.35930,0
1009070015357,14.91,0.06,196.38754,-10.55532,54560.36467,0
1009070015357,14.85,0.06,196.38749,-10.55537,54567.30074,0
1009070015357,14.87,0.06,196.38754,-10.55538,54567.30968,0
1009070015357,14.86,0.06,196.38755,-10.55535,54567.31865,0
1009070015357,14.88,0.06,196.38756,-10.55534,54567.32761,0
1009070015357,14.89,0.06,196.38754,-10.55534,54581.29285,0
1009070015357,14.88,0.06,196.38752,-10.55534,54581.29933,0
1009070015357,14.87,0.06,196.38756,-10.55531,54581.30578,0
1009070015357,14.87,0.06,196.38753,-10.55536,54581.31222,0
1009070015357,14.90,0.06,196.38753,-10.55537,54829.54269,0
1009070015357,14.88,0.06,196.38753,-10.55534,54829.54652,0
1009070015357,14.90,0.06,196.38755,-10.55535,54829.55021,0
1009070015357,14.87,0.06,196.38754,-10.55531,54829.55400,0
1009070015357,14.91,0.06,196.38750,-10.55531,54515.39008,0
1009070015357,14.89,0.06,196.38754,-10.55536,54515.39433,0
1009070015357,14.88,0.06,196.38754,-10.55535,54515.39860,0
1009070015357,14.90,0.06,196.38753,-10.55534,54515.40286,0
1009070015357,14.93,0.06,196.38750,-10.55530,54480.48763,0
1009070015357,14.93,0.06,196.38754,-10.55532,54480.49421,0
1009070015357,14.92,0.06,196.38755,-10.55532,54480.50070,0
1009070015357,14.94,0.06,196.38753,-10.55534,54480.50723,0
1009070015357,14.93,0.06,196.38754,-10.55535,54937.31339,0
1009070015357,14.93,0.06,196.38754,-10.55533,54937.31826,0
1009070015357,14.94,0.06,196.38755,-10.55535,54937.32311,0
1009070015357,14.91,0.06,196.38755,-10.55535,54937.32785,0
1009070015357,14.91,0.06,196.38754,-10.55533,54950.25972,0
1009070015357,14.91,0.06,196.38754,-10.55532,54950.26841,0
1009070015357,14.93,0.06,196.38757,-10.55534,54950.27712,0
1009070015357,14.92,0.06,196.38754,-10.55532,54950.28578,0
1009070015357,14.91,0.06,196.38753,-10.55532,54859.44895,0
1009070015357,14.91,0.06,196.38754,-10.55536,54859.45373,0
1009070015357,14.90,0.06,196.38756,-10.55533,54859.45852,0
1009070015357,14.91,0.06,196.38753,-10.55533,54859.46531,0
1009070015357,14.91,0.06,196.38753,-10.55535,54982.18400,0
1009070015357,14.90,0.06,196.38756,-10.55535,54982.18940,0
1009070015357,14.89,0.06,196.38756,-10.55536,54982.19482,0
1009070015357,14.90,0.06,196.38756,-10.55532,54982.20024,0
1009070015357,15.07,0.06,196.38754,-10.55534,55240.45953,0
1009070015357,15.08,0.06,196.38755,-10.55533,55240.46714,0
1009070015357,15.08,0.06,196.38752,-10.55533,55240.47471,0
1009070015357,15.05,0.06,196.38755,-10.55531,55240.48227,0
1009070015357,15.05,0.06,196.38754,-10.55535,55245.39946,0
1009070015357,15.05,0.06,196.38753,-10.55534,55245.40637,0
1009070015357,15.07,0.06,196.38752,-10.55538,55245.41334,0
1009070015357,15.06,0.06,196.38752,-10.55535,55245.42031,0
1009070015357,15.16,0.06,196.38755,-10.55534,55348.20490,0
1009070015357,15.17,0.06,196.38753,-10.55537,55348.21230,0
1009070015357,15.18,0.06,196.38756,-10.55538,55348.21979,0
1009070015357,15.19,0.06,196.38756,-10.55535,55348.22728,0
1009070015357,15.16,0.06,196.38755,-10.55536,55321.22649,0
1009070015357,15.17,0.06,196.38753,-10.55536,55321.23333,0
1009070015357,15.16,0.06,196.38752,-10.55533,55321.24024,0
1009070015357,15.15,0.06,196.38752,-10.55534,55321.24720,0
1009070015357,15.16,0.06,196.38752,-10.55537,55332.21347,0
1009070015357,15.18,0.06,196.38755,-10.55540,55332.21856,0
1009070015357,15.15,0.06,196.38755,-10.55537,55332.22371,0
1009070015357,15.16,0.06,196.38751,-10.55537,55332.22888,0
1009070015357,15.12,0.06,196.38755,-10.55535,55679.28296,0
1009070015357,15.12,0.06,196.38752,-10.55533,55679.29260,0
1009070015357,15.12,0.06,196.38756,-10.55535,55679.30226,0
1009070015357,15.12,0.06,196.38754,-10.55533,55679.31190,0
1009070015357,15.13,0.06,196.38751,-10.55533,55589.49187,0
1009070015357,15.11,0.06,196.38760,-10.55530,55589.49652,0
1009070015357,15.13,0.06,196.38754,-10.55535,55589.50122,0
1009070015357,15.13,0.06,196.38760,-10.55537,55589.50597,0
1009070015357,15.05,0.06,196.38755,-10.55532,55716.19355,0
1009070015357,15.04,0.06,196.38755,-10.55534,55716.19873,0
1009070015357,15.07,0.06,196.38756,-10.55530,55716.20394,0
1009070015357,15.08,0.06,196.38757,-10.55530,55716.20913,0
1009070015357,15.05,0.06,196.38755,-10.55531,55736.17498,0
1009070015357,15.06,0.06,196.38757,-10.55533,55736.18009,0
1009070015357,15.03,0.06,196.38756,-10.55531,55736.18524,0
1009070015357,15.07,0.06,196.38755,-10.55534,55736.19044,0
1009070015357,15.13,0.06,196.38755,-10.55537,55644.41116,0
1009070015357,15.14,0.06,196.38755,-10.55533,55644.41687,0
